Year,March Equinox,March Time,June Solstice,June Time,September Equinox,Sept Time,December Solstice,Dec Time
2000,20-Mar,2:35 am EST,20-Jun,9:47 pm EDT,22-Sep,1:27 pm EDT,21-Dec,8:37 am EST
2001,20-Mar,8:30 am EST,21-Jun,3:37 am EDT,22-Sep,7:04 pm EDT,21-Dec,2:21 pm EST
2002,20-Mar,2:16 pm EST,21-Jun,9:24 am EDT,23-Sep,12:55 am EDT,21-Dec,8:14 pm EST
2003,20-Mar,7:59 pm EST,21-Jun,3:10 pm EDT,23-Sep,6:46 am EDT,22-Dec,2:03 am EST
2004,20-Mar,1:48 am EST,20-Jun,8:56 pm EDT,22-Sep,12:29 pm EDT,21-Dec,7:41 am EST
2005,20-Mar,7:33 am EST,21-Jun,2:46 am EDT,22-Sep,6:23 pm EDT,21-Dec,1:34 pm EST
2006,20-Mar,1:25 pm EST,21-Jun,8:25 am EDT,23-Sep,12:03 am EDT,21-Dec,7:22 pm EST
2007,20-Mar,8:07 pm EDT,21-Jun,2:06 pm EDT,23-Sep,5:51 am EDT,22-Dec,1:07 am EST
2008,20-Mar,1:48 am EDT,20-Jun,7:59 pm EDT,22-Sep,11:44 am EDT,21-Dec,7:03 am EST
2009,20-Mar,7:43 am EDT,21-Jun,1:45 am EDT,22-Sep,5:18 pm EDT,21-Dec,12:46 pm EST
2010,20-Mar,1:32 pm EDT,21-Jun,7:28 am EDT,22-Sep,11:08 pm EDT,21-Dec,6:38 pm EST
2011,20-Mar,7:20 pm EDT,21-Jun,1:16 pm EDT,23-Sep,5:04 am EDT,22-Dec,12:30 am EST
2012,20-Mar,1:14 am EDT,20-Jun,7:08 pm EDT,22-Sep,10:48 am EDT,21-Dec,6:11 am EST
2013,20-Mar,7:01 am EDT,21-Jun,1:03 am EDT,22-Sep,4:44 pm EDT,21-Dec,12:11 pm EST
2014,20-Mar,12:57 pm EDT,21-Jun,6:51 am EDT,22-Sep,10:29 pm EDT,21-Dec,6:03 pm EST
2015,20-Mar,6:45 pm EDT,21-Jun,12:37 pm EDT,23-Sep,4:20 am EDT,21-Dec,11:47 pm EST
2016,20-Mar,12:30 am EDT,20-Jun,6:34 pm EDT,22-Sep,10:21 am EDT,21-Dec,5:44 am EST
2017,20-Mar,6:28 am EDT,21-Jun,12:24 am EDT,22-Sep,4:01 pm EDT,21-Dec,11:27 am EST
2018,20-Mar,12:15 pm EDT,21-Jun,6:07 am EDT,22-Sep,9:54 pm EDT,21-Dec,5:22 pm EST
2019,20-Mar,5:58 pm EDT,21-Jun,11:54 am EDT,23-Sep,3:50 am EDT,21-Dec,11:19 pm EST
2020,19-Mar,11:49 pm EDT,20-Jun,5:43 pm EDT,22-Sep,9:30 am EDT,21-Dec,5:02 am EST
2021,20-Mar,5:37 am EDT,20-Jun,11:32 pm EDT,22-Sep,3:21 pm EDT,21-Dec,10:59 am EST
