,YEAR,MONTH,DAY,SEASON,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP
0,2000,1,1,0,47.6,38.1,1023.7,999.9,8.3,3.0,10.1,0.0,66.9,33.1,0.0,0.0
1,2000,1,2,0,55.3,46.3,1024.2,999.9,9.5,4.8,14.0,0.0,70.0,33.1,0.0,0.0
2,2000,1,3,0,62.6,55.4,1021.3,999.9,8.4,8.5,14.0,0.0,73.9,43.0,0.0,0.0
3,2000,1,4,0,65.2,58.6,1014.4,999.9,9.5,15.3,28.0,35.9,73.9,55.0,0.0,0.0
4,2000,1,5,0,45.7,30.9,1019.8,999.9,9.8,6.4,11.1,18.1,57.9,37.0,0.34,0.0
5,2000,1,6,0,36.1,27.2,1032.4,999.9,9.9,1.8,7.0,0.0,51.1,25.0,0.0,0.0
6,2000,1,7,0,47.4,35.0,1027.5,999.9,9.2,3.2,10.1,14.0,57.9,25.0,0.04,0.0
7,2000,1,8,0,38.6,25.2,1028.3,999.9,9.9,1.7,5.1,0.0,57.9,26.1,0.08,0.0
8,2000,1,9,0,44.3,39.0,1021.4,999.9,6.9,3.2,6.0,0.0,54.0,26.1,0.04,0.0
9,2000,1,10,0,56.9,54.2,1009.8,999.9,4.7,9.4,22.0,26.0,66.0,41.0,0.59,0.0
10,2000,1,11,0,54.9,33.6,1011.3,999.9,9.9,11.4,24.1,35.0,70.0,43.0,0.9,0.0
11,2000,1,12,0,48.2,19.8,1021.9,999.9,9.9,3.4,11.1,0.0,62.1,30.2,0.0,0.0
12,2000,1,13,0,54.7,36.8,1016.2,999.9,10.0,9.8,19.0,27.0,70.0,46.9,0.0,0.0
13,2000,1,14,0,35.9,10.2,1032.0,999.9,9.9,8.4,19.0,35.9,52.0,28.0,0.0,0.0
14,2000,1,15,0,30.2,8.8,1039.0,999.9,9.9,3.0,8.9,0.0,44.1,19.0,0.0,0.0
15,2000,1,16,0,45.6,21.2,1027.4,999.9,9.8,11.0,18.1,25.1,63.0,36.0,0.0,0.0
16,2000,1,17,0,43.0,15.5,1027.0,999.9,9.9,6.8,15.0,19.0,63.0,32.0,0.0,0.0
17,2000,1,18,0,26.6,14.0,1023.5,999.9,5.1,3.6,8.0,0.0,33.1,21.2,0.09,3.1
18,2000,1,19,0,30.5,27.2,1016.8,999.9,5.4,2.7,8.0,0.0,39.9,21.9,0.1,2.0
19,2000,1,20,0,35.7,28.4,1006.1,999.9,6.3,7.1,15.0,25.1,45.0,24.1,0.26,2.0
20,2000,1,21,0,29.1,6.5,1015.1,999.9,10.0,7.7,13.0,21.0,45.0,21.0,0.0,0.0
21,2000,1,22,0,25.9,3.1,1023.1,999.9,9.9,2.5,6.0,0.0,34.0,17.1,0.0,0.0
22,2000,1,23,0,29.0,26.3,1020.1,999.9,5.0,4.4,8.9,0.0,33.1,17.1,0.02,0.0
23,2000,1,24,0,31.5,29.9,1015.2,999.9,4.0,7.6,13.0,18.1,36.0,28.4,0.33,0.0
24,2000,1,25,0,30.0,26.6,1001.4,999.9,2.4,10.8,15.9,28.9,36.0,26.1,0.74,20.1
25,2000,1,26,0,25.5,11.8,1009.7,999.9,9.9,5.0,10.1,15.9,36.0,12.9,0.06,15.0
26,2000,1,27,0,23.2,8.0,1022.9,999.9,9.9,5.1,13.0,15.9,33.1,10.0,0.0,11.8
27,2000,1,28,0,20.3,2.7,1033.1,999.9,9.9,1.2,4.1,0.0,39.0,1.0,0.0,9.1
28,2000,1,29,0,21.3,8.9,1035.1,999.9,9.9,3.1,8.0,0.0,39.0,1.0,0.0,7.1
29,2000,1,30,0,31.2,27.3,1028.2,999.9,5.5,5.1,10.1,0.0,34.0,30.0,0.16,7.1
30,2000,1,31,0,31.6,28.5,1017.9,999.9,6.0,5.3,8.9,14.0,34.0,26.1,1.09,7.1
31,2000,2,1,0,28.9,22.6,1019.1,999.9,7.1,4.9,11.1,15.9,39.9,19.0,0.0,5.9
32,2000,2,2,0,31.4,17.0,1024.3,999.9,9.9,4.7,8.9,0.0,41.0,19.0,0.0,3.1
33,2000,2,3,0,33.4,21.2,1019.2,999.9,9.9,6.8,17.1,21.0,48.9,19.9,0.0,2.0
34,2000,2,4,0,40.8,25.8,1011.1,999.9,9.9,3.4,8.0,0.0,51.1,21.9,0.0,1.2
35,2000,2,5,0,36.8,22.5,1020.4,999.9,9.9,5.2,10.1,14.0,51.1,24.1,0.0,1.2
36,2000,2,6,0,36.2,20.3,1027.8,999.9,9.9,2.6,6.0,0.0,48.9,28.0,0.0,0.0
37,2000,2,7,0,42.8,25.4,1024.5,999.9,9.7,5.5,12.0,0.0,59.0,26.1,0.0,0.0
38,2000,2,8,0,38.8,27.8,1027.9,999.9,9.9,4.5,13.0,18.1,59.0,28.9,0.0,0.0
39,2000,2,9,0,40.4,29.2,1026.4,999.9,9.9,3.3,8.9,0.0,55.0,28.0,0.0,0.0
40,2000,2,10,0,42.6,31.1,1017.1,999.9,8.1,1.2,5.1,0.0,64.0,26.1,0.0,0.0
41,2000,2,11,0,56.8,36.9,1011.6,999.9,9.9,7.1,11.1,19.0,71.1,48.0,0.0,0.0
42,2000,2,12,0,44.2,37.1,1018.9,999.9,8.0,8.2,14.0,19.0,64.0,32.0,0.0,0.0
43,2000,2,13,0,33.9,30.9,1023.4,999.9,4.9,3.9,9.9,0.0,39.2,30.9,0.73,0.0
44,2000,2,14,0,51.9,47.0,1009.7,999.9,5.9,8.5,15.9,26.0,66.0,36.0,0.28,0.0
45,2000,2,15,0,48.2,31.8,1019.2,999.9,10.0,4.4,8.9,15.9,66.0,39.9,0.27,0.0
46,2000,2,16,0,49.4,38.3,1021.6,999.9,9.7,8.3,19.0,0.0,68.0,36.0,0.0,0.0
